"Date of Download: 2024-05-15_15:39:16"
"Search Parameters: Data Level:all  Trait List:  Trial List:12982  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153310","SM6537-26","","plot","8242815","202363BCCOB_stom_rep1_SM6537-26_55","1","1","55","4","2","test","","1","17.4520239570425","17.1875","8.8","4","1","8","4","3","3","2","4880","38","0","6","1","8",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153313","SM6537-29","","plot","8242829","202363BCCOB_stom_rep1_SM6537-29_17","1","1","17","2","12","test","","1","24.5394736842105","3.90625","2","4","1","8","4","1","3","3","1900","95","0","1","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153316","SM6537-32","","plot","8242842","202363BCCOB_stom_rep1_SM6537-32_32","1","1","32","3","4","test","","1","25.7396344086021","26.953125","13.8","5","1","8","2","4","3","1","4930","280","0","7","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153318","SM6537-34","","plot","8242862","202363BCCOB_stom_rep1_SM6537-34_21","1","1","21","2","8","test","","1","20.4159718603439","4.1015625","2.1","4","1","8","2","1","3","2","1970","51","0","1","1","8",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153320","SM6537-36","","plot","8242856","202363BCCOB_stom_rep1_SM6537-36_42","1","1","42","3","14","check","","1","29.3209067188519","41.9921875","21.5","5","1","8","3","4","3","1","4980","381","0","6","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153320","SM6537-36","","plot","8242845","202363BCCOB_stom_rep1_SM6537-36_44","1","1","44","4","13","check","","1","31.6330553116769","39.84375","20.4","5","1","8","2","4","3","1","5000","444","0","5","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153327","SM6538-16","","plot","8242855","202363BCCOB_stom_rep1_SM6538-16_39","1","1","39","3","11","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153332","SM6540-10","","plot","8242816","202363BCCOB_stom_rep1_SM6540-10_33","1","1","33","3","5","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153333","SM6540-11","","plot","8242840","202363BCCOB_stom_rep1_SM6540-11_14","1","1","14","1","14","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153335","SM6540-13","","plot","8242826","202363BCCOB_stom_rep1_SM6540-13_50","1","1","50","4","7","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153343","SM6541-6","","plot","8242859","202363BCCOB_stom_rep1_SM6541-6_23","1","1","23","2","6","test","","1","16.2730769230769","7.8125","4","5","1","8","3","1","3","3","2510","1","1","1","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153348","SM6542-8","","plot","8242821","202363BCCOB_stom_rep1_SM6542-8_7","1","1","7","1","7","test","","2","22.4614345114345","29.296875","15","5","1","8","3","4","3","2","5000","190","0","6","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153351","SM6544-16","","plot","8242867","202363BCCOB_stom_rep1_SM6544-16_27","1","1","27","2","2","test","","2","19.1828397790055","9.765625","5","4","1","8","2","1","3","2","4610","85","0","1","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153366","SM6552-10","","plot","8242836","202363BCCOB_stom_rep1_SM6552-10_11","1","1","11","1","11","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153367","SM6552-11","","plot","8242841","202363BCCOB_stom_rep1_SM6552-11_49","1","1","49","4","8","test","","1","19.3399876390606","19.3359375","9.9","4","1","8","3","2","3","2","4950","96","2","4","1","6",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153369","SM6552-7","","plot","8242857","202363BCCOB_stom_rep1_SM6552-7_26","1","1","26","2","3","test","","1","22.3435556557007","10.7421875","5.5","4","1","8","2","2","2","1","4610","172","0","2","1","8",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153370","SM6552-8","","plot","8242846","202363BCCOB_stom_rep1_SM6552-8_40","1","1","40","3","12","test","","1","19.7671881886293","26.171875","13.4","4","1","8","3","3","3","1","4640","102","1","4","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153375","SM6556-13","","plot","8242848","202363BCCOB_stom_rep1_SM6556-13_19","1","1","19","2","10","test","","2","26.7440775681342","17.1875","8.8","4","1","8","3","2","1","2","4070","254","0","2","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153383","SM6556-7","","plot","8242860","202363BCCOB_stom_rep1_SM6556-7_45","1","1","45","4","12","test","","1","26.8868061485909","23.046875","11.8","4","1","8","2","4","3","1","5000","316","4","8","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153394","SM6562-9","","plot","8242820","202363BCCOB_stom_rep1_SM6562-9_24","1","1","24","2","5","check","","1","28.562332902113","23.4375","12","4","1","8","3","4","3","2","5000","362","0","7","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153394","SM6562-9","","plot","8242844","202363BCCOB_stom_rep1_SM6562-9_38","1","1","38","3","10","check","","1","27.2098615029495","23.4375","12","4","1","8","2","4","3","1","4170","271","1","8","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153395","SM6564-10","","plot","8242814","202363BCCOB_stom_rep1_SM6564-10_52","1","1","52","4","5","test","","1","25.6015939185875","16.6015625","8.5","5","1","8","3","2","3","1","4320","242","0","2","1","6",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153406","SM6564-21","","plot","8242813","202363BCCOB_stom_rep1_SM6564-21_37","1","1","37","3","9","test","","2","22.0444700460829","36.1328125","18.5","4","1","8","4","3","3","1","4950","176","0","4","1","8",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153411","SM6564-9","","plot","8242819","202363BCCOB_stom_rep1_SM6564-9_9","1","1","9","1","9","test","","1","23.8409853249476","33.7890625","17.3","4","2","8","3","4","3","2","5000","230","0","4","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153414","SM6565-5","","plot","8242830","202363BCCOB_stom_rep1_SM6565-5_6","1","1","6","1","6","test","","1","26.4538461538461","17.578125","9","4","1","8","3","4","2","2","4540","276","1","7","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153421","SM6566-6","","plot","8242849","202363BCCOB_stom_rep1_SM6566-6_53","1","1","53","4","4","test","","1","27.2844746415579","23.046875","11.8","4","2","8","4","2","3","1","5000","327","0","3","1","6",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153424","SM6566-9","","plot","8242838","202363BCCOB_stom_rep1_SM6566-9_13","1","1","13","1","13","test","","1","19.7085955786736","7.8125","4","4","2","8","4","1","3","2","3930","85","0","1","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153425","SM6569-3","","plot","8242834","202363BCCOB_stom_rep1_SM6569-3_25","1","1","25","2","4","check","","2","25.5983050847458","29.8828125","15.3","4","1","8","2","3","3","2","5000","280","1","4","1","6",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153425","SM6569-3","","plot","8242824","202363BCCOB_stom_rep1_SM6569-3_36","1","1","36","3","8","check","","1","23.6325795644891","40.0390625","20.5","4","1","8","3","4","3","2","5000","224","3","4","1","6",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153430","SM6571-13","","plot","8242828","202363BCCOB_stom_rep1_SM6571-13_2","1","1","2","1","2","test","","1","23.6426002290951","20.703125","10.6","5","1","8","1","4","3","2","4570","205","0","7","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153434","SM6571-6","","plot","8242835","202363BCCOB_stom_rep1_SM6571-6_46","1","1","46","4","11","check","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153434","SM6571-6","","plot","8242868","202363BCCOB_stom_rep1_SM6571-6_8","1","1","8","1","8","check","","1","25.5151355075792","10.7421875","5.5","4","1","8","3","2","3","2","4610","256","0","2","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153436","SM6571-8","","plot","8242865","202363BCCOB_stom_rep1_SM6571-8_4","1","1","4","1","4","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153447","SM6574-8","","plot","8242852","202363BCCOB_stom_rep1_SM6574-8_56","1","1","56","4","1","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153449","SM6576-11","","plot","8242858","202363BCCOB_stom_rep1_SM6576-11_12","1","1","12","1","12","check","","1","23.8409853249476","26.171875","13.4","4","2","8","4","4","2","1","5000","230","0","8","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153449","SM6576-11","","plot","8242863","202363BCCOB_stom_rep1_SM6576-11_30","1","1","30","3","2","check","","1","25.7049289802841","24.21875","12.4","4","1","8","4","3","2","1","5000","283","2","6","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153457","SM6576-7","","plot","8242864","202363BCCOB_stom_rep1_SM6576-7_34","1","1","34","3","6","test","","1","21.2446421096693","28.7109375","14.7","5","1","8","2","4","3","1","4930","152","0","8","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153465","SM6577-15","","plot","8242833","202363BCCOB_stom_rep1_SM6577-15_41","1","1","41","3","13","test","","","24.5394736842105","2.9296875","1.5","","","8","","1","3","3","1340","67","0","1","","8",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153466","SM6577-16","","plot","8242866","202363BCCOB_stom_rep1_SM6577-16_1","1","1","1","1","1","check","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153466","SM6577-16","","plot","8242847","202363BCCOB_stom_rep1_SM6577-16_35","1","1","35","3","7","check","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153467","SM6577-17","","plot","8242832","202363BCCOB_stom_rep1_SM6577-17_43","1","1","43","4","14","test","","1","23.0983103541498","19.53125","10","4","1","8","3","3","3","1","3860","161","2","4","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153469","SM6577-8","","plot","8242823","202363BCCOB_stom_rep1_SM6577-8_29","1","1","29","3","1","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","236646","SMB2446-2","Caiseli,Caiselli,CAISELLI","plot","8242831","202363BCCOB_stom_rep1_SMB2446-2_16","1","1","16","2","13","check","","1","29.6730902777778","22.4609375","11.5","4","1","8","1","4","3","2","5000","392","0","8","1","3",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","236646","SMB2446-2","Caiseli,Caiselli,CAISELLI","plot","8242839","202363BCCOB_stom_rep1_SMB2446-2_22","1","1","22","2","7","check","","1","31.5769861286255","23.4375","12","4","1","8","1","4","3","2","4350","385","1","7","1","3",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","147207","TAI8","Tai8","plot","8242854","202363BCCOB_stom_rep1_TAI8_15","1","1","15","2","14","check","","1","27.1034843950406","46.875","24","5","1","8","1","4","1","1","5000","322","0","8","1","4",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","147207","TAI8","Tai8","plot","8242851","202363BCCOB_stom_rep1_TAI8_3","1","1","3","1","3","check","","1","26.0696485623003","43.9453125","22.5","5","1","8","1","4","1","1","3990","234","0","8","1","4",""
